,coach,block,start_per,end_per,TAVG,TMAX,TMIN,tempdif,day_of_week,month,tempF,windspeedMiles,winddirdegree,weatherCode,precipInches,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex,block_mileage
61,7503.0,7771,100.0,22.0,53.0,62.0,48.0,14.0,3.0,5.0,66.4,4.9,233.1,114.5,0.0,61.7,6.0,30.0,26.1,67.8,52.5,66.4,5.6,66.4,5.1,107.0
62,7501.0,7772,100.0,40.0,53.0,62.0,48.0,14.0,3.0,5.0,66.4,4.9,233.1,114.5,0.0,61.7,6.0,30.0,26.1,67.8,52.5,66.4,5.6,66.4,5.1,145.9
63,7504.0,7774,100.0,32.0,53.0,62.0,48.0,14.0,3.0,5.0,66.4,4.9,233.1,114.5,0.0,61.7,6.0,30.0,26.1,67.8,52.5,66.4,5.6,66.4,5.1,105.9
64,7505.0,7773,100.0,52.0,53.0,62.0,48.0,14.0,3.0,5.0,66.4,4.9,233.1,114.5,0.0,61.7,6.0,30.0,26.1,67.8,52.5,66.4,5.6,66.4,5.1,167.3
65,7503.0,7771,100.0,17.0,57.0,69.0,47.0,22.0,4.0,5.0,73.8,5.0,206.4,113.6,0.0,48.2,6.0,30.0,6.6,74.4,51.9,73.8,5.7,74.3,5.8,107.0
66,7501.0,7772,100.0,40.0,57.0,69.0,47.0,22.0,4.0,5.0,73.8,5.0,206.4,113.6,0.0,48.2,6.0,30.0,6.6,74.4,51.9,73.8,5.7,74.3,5.8,145.9
67,7504.0,7774,100.0,28.0,57.0,69.0,47.0,22.0,4.0,5.0,73.8,5.0,206.4,113.6,0.0,48.2,6.0,30.0,6.6,74.4,51.9,73.8,5.7,74.3,5.8,105.9
68,7502.0,7773,96.0,45.0,57.0,69.0,47.0,22.0,4.0,5.0,73.8,5.0,206.4,113.6,0.0,48.2,6.0,30.0,6.6,74.4,51.9,73.8,5.7,74.3,5.8,167.3
69,7503.0,7771,100.0,11.0,61.0,72.0,46.0,26.0,0.0,5.0,71.7,4.5,262.7,113.0,0.0,44.4,6.0,30.6,3.6,73.5,48.0,71.7,5.3,72.4,5.4,107.0
70,7501.0,7772,100.0,41.0,61.0,72.0,46.0,26.0,0.0,5.0,71.7,4.5,262.7,113.0,0.0,44.4,6.0,30.6,3.6,73.5,48.0,71.7,5.3,72.4,5.4,145.9
71,7504.0,7774,100.0,26.0,61.0,72.0,46.0,26.0,0.0,5.0,71.7,4.5,262.7,113.0,0.0,44.4,6.0,30.6,3.6,73.5,48.0,71.7,5.3,72.4,5.4,105.9
72,7502.0,7773,94.0,41.0,61.0,72.0,46.0,26.0,0.0,5.0,71.7,4.5,262.7,113.0,0.0,44.4,6.0,30.6,3.6,73.5,48.0,71.7,5.3,72.4,5.4,167.3
73,7503.0,7771,100.0,20.0,53.0,61.0,46.0,15.0,1.0,5.0,66.1,4.3,261.6,116.0,0.0,53.2,6.0,30.6,50.4,67.5,48.2,66.1,5.2,66.1,4.8,107.0
74,7502.0,7772,100.0,42.0,53.0,61.0,46.0,15.0,1.0,5.0,66.1,4.3,261.6,116.0,0.0,53.2,6.0,30.6,50.4,67.5,48.2,66.1,5.2,66.1,4.8,145.9
75,7504.0,7774,100.0,40.0,53.0,61.0,46.0,15.0,1.0,5.0,66.1,4.3,261.6,116.0,0.0,53.2,6.0,30.6,50.4,67.5,48.2,66.1,5.2,66.1,4.8,105.9
76,7501.0,7773,100.0,52.0,53.0,61.0,46.0,15.0,1.0,5.0,66.1,4.3,261.6,116.0,0.0,53.2,6.0,30.6,50.4,67.5,48.2,66.1,5.2,66.1,4.8,167.3
77,7503.0,7771,100.0,18.0,53.0,60.0,46.0,14.0,2.0,5.0,63.0,7.1,176.4,190.1,0.0,68.2,4.0,30.0,59.2,63.0,52.2,63.0,8.1,63.0,4.2,107.0
78,7502.0,7772,100.0,40.0,53.0,60.0,46.0,14.0,2.0,5.0,63.0,7.1,176.4,190.1,0.0,68.2,4.0,30.0,59.2,63.0,52.2,63.0,8.1,63.0,4.2,145.9
79,7504.0,7774,100.0,37.0,53.0,60.0,46.0,14.0,2.0,5.0,63.0,7.1,176.4,190.1,0.0,68.2,4.0,30.0,59.2,63.0,52.2,63.0,8.1,63.0,4.2,105.9
80,7501.0,7773,100.0,57.0,53.0,60.0,46.0,14.0,2.0,5.0,63.0,7.1,176.4,190.1,0.0,68.2,4.0,30.0,59.2,63.0,52.2,63.0,8.1,63.0,4.2,167.3
81,7503.0,7771,100.0,18.0,46.0,50.0,44.0,6.0,3.0,5.0,58.8,8.2,218.6,200.0,0.0,63.2,5.8,30.0,63.7,58.8,46.4,57.3,10.2,57.3,3.6,107.0
82,7504.0,7774,100.0,65.0,46.0,50.0,44.0,6.0,3.0,5.0,58.8,8.2,218.6,200.0,0.0,63.2,5.8,30.0,63.7,58.8,46.4,57.3,10.2,57.3,3.6,105.9
83,7501.0,7773,100.0,59.0,46.0,50.0,44.0,6.0,3.0,5.0,58.8,8.2,218.6,200.0,0.0,63.2,5.8,30.0,63.7,58.8,46.4,57.3,10.2,57.3,3.6,167.3
84,7503.0,7771,100.0,12.0,47.0,55.0,43.0,12.0,4.0,5.0,61.0,5.5,279.5,115.1,0.0,53.4,6.0,31.0,35.4,61.0,43.5,60.7,6.5,60.7,4.4,107.0
85,7502.0,7772,99.0,35.0,47.0,55.0,43.0,12.0,4.0,5.0,61.0,5.5,279.5,115.1,0.0,53.4,6.0,31.0,35.4,61.0,43.5,60.7,6.5,60.7,4.4,145.9
86,7504.0,7774,99.0,62.0,47.0,55.0,43.0,12.0,4.0,5.0,61.0,5.5,279.5,115.1,0.0,53.4,6.0,31.0,35.4,61.0,43.5,60.7,6.5,60.7,4.4,105.9
87,7501.0,7773,99.0,54.0,47.0,55.0,43.0,12.0,4.0,5.0,61.0,5.5,279.5,115.1,0.0,53.4,6.0,31.0,35.4,61.0,43.5,60.7,6.5,60.7,4.4,167.3
88,7503.0,7771,99.0,13.0,49.0,57.0,43.0,14.0,0.0,5.0,62.2,6.5,257.9,113.0,0.0,56.1,6.0,30.0,15.1,62.2,45.9,62.2,7.4,62.2,4.5,107.0
89,7502.0,7772,100.0,31.0,49.0,57.0,43.0,14.0,0.0,5.0,62.2,6.5,257.9,113.0,0.0,56.1,6.0,30.0,15.1,62.2,45.9,62.2,7.4,62.2,4.5,145.9
90,7505.0,7774,99.0,26.0,49.0,57.0,43.0,14.0,0.0,5.0,62.2,6.5,257.9,113.0,0.0,56.1,6.0,30.0,15.1,62.2,45.9,62.2,7.4,62.2,4.5,105.9
91,,7773,99.0,53.0,49.0,57.0,43.0,14.0,0.0,5.0,62.2,6.5,257.9,113.0,0.0,56.1,6.0,30.0,15.1,62.2,45.9,62.2,7.4,62.2,4.5,167.3
92,7503.0,7771,99.0,19.0,46.0,48.0,44.0,4.0,1.0,5.0,57.6,9.4,276.5,236.0,0.0,68.0,6.0,30.0,64.4,57.6,47.2,56.1,11.5,56.1,3.2,107.0
93,7502.0,7772,99.0,41.0,46.0,48.0,44.0,4.0,1.0,5.0,57.6,9.4,276.5,236.0,0.0,68.0,6.0,30.0,64.4,57.6,47.2,56.1,11.5,56.1,3.2,145.9
94,7501.0,7774,99.0,34.0,46.0,48.0,44.0,4.0,1.0,5.0,57.6,9.4,276.5,236.0,0.0,68.0,6.0,30.0,64.4,57.6,47.2,56.1,11.5,56.1,3.2,105.9
95,7504.0,7773,98.0,56.0,46.0,48.0,44.0,4.0,1.0,5.0,57.6,9.4,276.5,236.0,0.0,68.0,6.0,30.0,64.4,57.6,47.2,56.1,11.5,56.1,3.2,167.3
