,DateTime,op_type,op_id,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,mpp
555,2019-09-27,REG,Opr_A,coach_7505,block_7772,0,50,100,78,186,138,21.8,22.2,2.27
556,2019-09-27,ME,Opr_B,coach_7505,block_7772,50,70,78,45,138,75,22.2,23,2.12
564,2019-09-30,REG,Opr_A,coach_7505,block_7771,0,110,100,44,205,80,24.8,24.4,1.96
565,2019-09-30,REG,Opr_B,coach_7505,block_7771,110,49,44,11,80,14,24.4,23.8,1.48
571,2019-10-02,REG,Opr_A,coach_7505,block_7771,0,110,100,43,199,82,23.8,23.6,1.93
572,2019-10-02,REG,Opr_B,coach_7505,block_7771,110,49,43,13,82,18,23.6,23.6,1.63
581,2019-10-03,REG,Opr_A,coach_7505,block_7774,0,23,100,88,197,170,23.2,23,1.92
582,2019-10-03,REG,Opr_B,coach_7505,block_7774,23,53,88,60,170,108,23,23,1.89
583,2019-10-03,REG,Opr_C,coach_7505,block_7774,76,53,60,29,108,46,23,23,1.71
585,2019-10-04,XB,Opr_A,coach_7505,block_7772,0,50,100,70,192,130,22.8,22.6,1.67
586,2019-10-04,REG,Opr_B,coach_7505,block_7772,50,70,70,23,130,35,22.6,22.4,1.49
592,2019-10-05,REG,Opr_A,coach_7505,block_7772,0,50,100,78,190,140,22.4,22.4,2.27
593,2019-10-05,REG,Opr_B,coach_7505,block_7772,50,70,78,24,140,37,22.4,22,1.3
599,2019-10-07,REG,Opr_A,coach_7505,block_7772,0,50,100,78,190,140,22.4,22.4,2.27
600,2019-10-07,REG,Opr_B,coach_7505,block_7772,50,70,78,24,140,37,22.4,22,1.3
606,2019-10-08,ME,Opr_A,coach_7505,block_7771,0,110,100,50,190,86,22,22.4,2.2
607,2019-10-08,REG,Opr_B,coach_7505,block_7771,110,49,50,22,86,35,22.4,22.4,1.75
627,2019-10-16,REG,Opr_A,coach_7505,block_7774,0,23,97,83,175,142,22.2,22.2,1.64
628,2019-10-16,REG,Opr_B,coach_7505,block_7774,23,53,83,48,142,80,22.2,22,1.51
629,2019-10-16,REG,Opr_C,coach_7505,block_7774,76,53,48,22,80,35,22,22,2.04
931,2020-01-06,REG,Opr_1,coach_7505,block_7771,0,60,99,65,217,132,27.6,26.6,1.76
936,2020-01-07,REG,Opr_3,coach_7505,block_7773,0,50,100,71,202,140,26,25.6,1.72
937,2020-01-07,REG,Opr_4,coach_7505,block_7773,50,94,71,20,140,31,25.6,25.2,1.84
942,2020-01-08,REG,Opr_3,coach_7505,block_7773,0,50,98,72,195,137,25.2,25.2,1.92
943,2020-01-08,REG,Opr_4,coach_7505,block_7773,50,95,72,21,137,34,25.2,25,1.86
948,2020-01-09,,Opr_3,coach_7505,block_7773,0,50,99,71,195,132,25,24.6,1.79
949,2020-01-09,,Opr_4,coach_7505,block_7773,50,95,71,11,132,14,24.6,24.2,1.58
951,2020-01-10,GRP,Opr_3,coach_7505,block_7773,0,50,100,72,191,129,24.2,24.2,1.79
952,2020-01-10,REG,Opr_4,coach_7505,block_7773,50,95,72,17,129,25,24.2,24,1.73
960,2020-01-30,REG,Opr_5,coach_7505,block_7772,0,100,100,43,210,75,25.4,24.2,1.75
961,2020-01-30,REG,Opr_6,coach_7505,block_7772,100,20,43,32,75,55,24.2,24.2,1.82
962,2020-01-30,REG,Opr_7,coach_7505,block_7772,120,48,32,9,55,9,24.2,24.4,2.09
967,2020-01-31,REG,Opr_5,coach_7505,block_7772,0,100,100,44,197,77,24.4,24,1.79
968,2020-01-31,REG,Opr_6,coach_7505,block_7772,100,20,44,33,77,61,24,23.8,1.82
969,2020-01-31,REG,Opr_7,coach_7505,block_7772,20,48,33,11,61,16,23.8,26.6,2.18
989,2020-02-07,REG,Opr_3,coach_7505,block_7773,0,50,100,75,174,129,22.2,22.6,2.0
990,2020-02-07,REG,Opr_4,coach_7505,block_7773,50,94,75,25,129,38,22.6,22.8,1.88
996,2020-02-10,REG,Opr_3,coach_7505,block_7773,0,50,99,76,177,134,22.8,23.2,2.17
997,2020-02-10,XB,Opr_4,coach_7505,block_7773,50,94,76,29,134,47,23.2,23.4,2.0
1006,2020-02-11,REG,Opr_3,coach_7505,block_7773,0,50,100,78,189,142,23.4,23.6,2.27
1007,2020-02-11,XB,Opr_4,coach_7505,block_7773,50,94,78,34,142,59,23.6,24,2.14
1016,2020-02-12,GRP,Opr_3,coach_7505,block_7773,0,50,100,78,196,145,24,24.2,2.27
1017,2020-02-12,XB,Opr_4,coach_7505,block_7773,50,94,78,33,145,57,24.2,24.4,2.09
1029,2020-02-25,REG,Opr_8,coach_7505,block_7774,0,103,99,47,199,87,24.6,24.6,1.98
1030,2020-02-25,ME,Opr_9,coach_7505,block_7774,103,74,47,16,87,25,24.6,24.8,2.39
1032,2020-03-02,REG,Opr_3,coach_7505,block_7773,0,50,100,75,193,143,24.6,24.6,2.0
1033,2020-03-02,GRP,Opr_4,coach_7505,block_7773,50,94,75,30,143,52,24.6,24.6,2.09
1041,2020-03-03,REG,Opr_3,coach_7505,block_7773,0,50,100,77,201,150,24.6,24.6,2.17
1042,2020-03-03,REG,Opr_4,coach_7505,block_7773,50,94,77,29,150,50,24.6,24.6,1.96
1050,2020-03-05,GRP,Opr_3,coach_7505,block_7773,0,50,100,77,199,145,24.6,24.6,2.17
1051,2020-03-05,REG,Opr_4,coach_7505,block_7773,50,,77,,145,,24.6,,0.0
1056,2020-03-10,REG,Opr_3,coach_7505,block_7773,0,50,100,78,199,145,24.8,24.8,2.27
1057,2020-03-10,XB,Opr_4,coach_7505,block_7773,50,94,78,29,145,48,24.8,24.8,1.92
1065,2020-03-11,GRP,Opr_3,coach_7505,block_7773,0,50,100,81,200,150,24.8,24.8,2.63
1066,2020-03-11,Julio,Opr_4,coach_7505,block_7773,50,94,81,34,150,58,24.8,24.8,2.0
1074,2020-03-12,REG,Opr_3,coach_7505,block_7773,0,50,98,73,197,138,24.8,24.8,2.0
1075,2020-03-12,XB,Opr_4,coach_7505,block_7773,50,94,73,22,138,31,24.8,24.8,1.84
1083,2020-03-13,REG,Opr_3,coach_7505,block_7773,0,50,99,79,200,151,24.8,24.8,2.5
1084,2020-03-13,JULIO,Opr_4,coach_7505,block_7773,50,94,79,34,151,58,24.8,24.8,2.09
1092,2020-03-16,GRP,Opr_3,coach_7505,block_7773,0,50,100,73,200,145,24.8,24.8,1.85
1093,2020-03-16,GRP,Opr_4,coach_7505,block_7773,50,94,73,21,145,33,24.8,24.6,1.81
1101,2020-03-17,XB,Opr_3,coach_7505,block_7773,0,50,100,63,197,135,24.6,24.6,1.35
1102,2020-03-17,REG,Opr_4,coach_7505,block_7773,50,94,63,5,135,12,24.6,24.6,1.62
1110,2020-03-18,GRP,Opr_3,coach_7505,block_7773,0,50,100,77,197,144,24.6,24.6,2.17
1111,2020-03-18,REG,Opr_4,coach_7505,block_7773,50,94,77,24,144,35,24.6,24.4,1.77
1116,2020-03-19,GRP,Opr_3,coach_7505,block_7773,0,50,100,75,197,145,24.4,24.4,2.0
1127,2020-03-23,JULIO,Opr_3,coach_7505,block_7773,0,50,100,80,197,149,24.4,24.4,2.5
1128,2020-03-23,REG,Opr_4,coach_7505,block_7773,50,94,80,35,149,60,24.4,24.6,2.09
1149,2020-06-15,XB,Opr_3,coach_7505,block_9883,0,88,100,58,220,114,27,25.4,2.1
1153,2020-06-16,XB,Opr_3,coach_7505,block_9983,0,86,99,59,200,116,25.4,25.2,2.15
1158,2020-06-17,XB,Opr_3,coach_7505,block_9983,0,63,100,75,209,154,25.2,25.6,2.52
1159,2020-06-17,XB,Opr_4,coach_7505,block_9983,63,43,75,46,154,87,25.6,24.8,1.48
1161,2020-06-18,XB,Opr_3,coach_7505,block_9983,0,63,100,73,205,150,24.8,25.2,2.33
1162,2020-06-18,XB,Opr_4,coach_7505,block_9983,63,43,73,44,150,81,25.2,24.6,1.48
1164,2020-06-19,XB,Opr_1,coach_7505,block_9982,0,63,100,74,207,150,24.6,25,2.42
1165,2020-06-19,XB,Opr_2,coach_7505,block_9982,63,63,74,39,150,71,25,24.6,1.8
1167,2020-06-22,XB,Opr_1,coach_7505,block_9982,0,63,98,67,195,135,24.6,24.6,2.03
1168,2020-06-22,XB,Opr_2,coach_7505,block_9982,63,64,67,34,135,65,24.6,24.6,1.94
1170,2020-06-27,XB091,Opr_1,coach_7505,block_9982,0,63,100,68,197,131,24.6,24.6,1.97
1171,2020-06-28,XB633,Opr_2,coach_7505,block_9982,63,64,68,24,131,35,24.6,24,1.45
1173,2020-06-29,XB149,Opr_1,coach_7505,block_9982,0,63,100,68,191,129,24,24,1.97
1174,2020-06-29,XB156,Opr_2,coach_7505,block_9982,63,64,68,30,129,53,24,24,1.68
1182,2020-07-02,XB572,Opr_1,coach_7505,block_9982,0,63,100,70,193,135,23.6,23.8,2.1
1183,2020-07-02,XB241,Opr_2,coach_7505,block_9982,63,64,70,33,135,60,23.8,23.6,1.73
1185,2020-07-03,XB680,Opr_1,coach_7505,block_9982,0,63,100,72,194,135,23.6,23.6,2.25
1186,2020-07-03,XB165,Opr_2,coach_7505,block_9982,63,64,72,37,135,65,23.6,23.6,1.83
1188,2020-07-06,XB840,Opr_1,coach_7505,block_9984,0,82,100,66,198,125,23.6,23.8,2.41
1189,2020-07-06,XB472,Opr_2,coach_7505,block_9984,82,64,66,34,125,58,23.8,23.8,2.0
1202,2020-07-07,XB815,Opr_8,coach_7505,block_9987,0,63,100,74,202,141,23.8,24,2.42
1203,2020-07-07,XB048,Opr_9,coach_7505,block_9987,63,83,74,27,141,46,24,23.8,1.77
1211,2020-07-09,XB964,Opr_8,coach_7505,block_9987,0,23,100,91,203,177,23.8,23.8,2.56
1212,2020-07-09,XB494,Opr_9,coach_7505,block_9987,23,83,91,40,177,71,23.8,23.8,1.63
1220,2020-07-13,XB534,Opr_8,coach_7505,block_9987,0,63,100,74,200,141,23.8,24,2.42
1221,2020-07-13,XB406,Opr_9,coach_7505,block_9987,63,83,74,32,141,56,24,24,1.98
1229,2020-07-14,XB635,Opr_8,coach_7505,block_9987,0,63,100,67,195,123,24,24,1.91
1230,2020-07-14,XB161,Opr_9,coach_7505,block_9987,63,83,67,20,123,30,24,24,1.77
1238,2020-07-15,XB587,Opr_8,coach_7505,block_9987,0,63,100,67,200,125,24,23.8,1.91
1239,2020-07-15,XB568,Opr_9,coach_7505,block_9987,63,83,67,20,125,31,23.8,23.8,1.77
1246,2020-07-16,XB587,Opr_8,coach_7505,block_9987,0,63,100,75,203,144,23.8,24,2.52
1247,2020-07-16,XB415,Opr_9,coach_7505,block_9987,63,83,75,28,144,48,24,24,1.77
1252,2020-07-17,XB988,Opr_8,coach_7505,block_9987,0,63,100,75,205,144,24,24,2.52
1253,2020-07-17,XB714,Opr_9,coach_7505,block_9987,63,83,75,31,144,60,24,24,1.89
1258,2020-07-21,XB150,Opr_8,coach_7505,block_9987,0,63,100,72,200,136,24,24,2.25
1259,2020-07-21,XB317,Opr_9,coach_7505,block_9987,63,83,72,27,136,45,24,24,1.84
1260,2020-07-21,XB150,Opr 8,coach_7505,block_9987,0,63,100%,72%,200,136,24,24,2.25
1261,2020-07-21,XB317,Opr 9,coach_7505,block_9987,63,83,72%,27%,136,45,24,24,1.84
1269,2020-07-22,XB247,Opr 8,coach_7505,block_9987,0,63,100%,73%,201,139,24,24,2.33
1270,2020-07-22,XB957,Opr 9,coach_7505,block_9987,63,83,73%,29%,139,50,24,24,1.89
1272,2020-07-23,XB295,Opr 1,coach_7505,block_9984,0,82,100%,69%,201,132,24,24,2.65
1273,2020-07-23,XB675,Opr 2,coach_7505,block_9984,82,64,69%,34%,132,64,24,24,1.83
1281,2020-07-24,XB359,Opr 1,coach_7505,block_9984,0,82,100%,65%,195,122,24,24.2,2.34
1282,2020-07-24,XB289,Opr 2,coach_7505,block_9984,82,64,65%,30%,122,53,24.2,24.2,1.83
1292,2020-07-27,XB415,Opr 8,coach_7505,block_9987,0,63,100%,72%,200,138,24.2,24.2,2.25
1293,2020-07-27,XB246,Opr 9,coach_7505,block_9987,63,83,72%,33%,138,56,24.2,24.2,2.13
