"DateTime","2605 - ODO"
"2019-09-11 00:00:00",23957.06573610117
"2019-09-12 00:00:00",23959.442480911475
"2019-09-13 00:00:00",24065.675206792333
"2019-09-15 00:00:00",24293.146772846576
"2019-09-16 00:00:00",24494.610847649725
"2019-09-17 00:00:00",24644.603639743895
"2019-09-18 00:00:00",24875.710227272728
"2019-09-19 00:00:00",25005.36864710093
"2019-09-20 00:00:00",25265.66725324107
"2019-09-21 00:00:00",25266.596203173467
"2019-09-22 00:00:00",25266.9938807365
"2019-09-23 00:00:00",25478.18552155412
"2019-09-24 00:00:00",25674.951656948047
"2019-09-25 00:00:00",25839.171115684403
"2019-09-26 00:00:00",26059.124090312573
"2019-09-27 00:00:00",26101.39286566452
"2019-09-28 00:00:00",26251.093613298337
"2019-09-29 00:00:00",26436.07271037143
"2019-09-30 00:00:00",26587.615823590233
"2019-10-01 00:00:00",26840.05408414857
"2019-10-02 00:00:00",27047.57997979301
"2019-10-03 00:00:00",27153.09778394178
"2019-10-04 00:00:00",27402.34219657202
"2019-10-05 00:00:00",27581.76934204247
"2019-10-06 00:00:00",27751.537272329595
"2019-10-07 00:00:00",27962.80347769029
"2019-10-08 00:00:00",28188.646468490613
"2019-10-09 00:00:00",28423.94801223989
"2019-10-10 00:00:00",28608.103674540682
"2019-10-11 00:00:00",28697.553164519206
"2019-10-12 00:00:00",28698.19006999125
"2019-10-13 00:00:00",28804.4631849996
"2019-10-14 00:00:00",29014.62024278215
"2019-10-15 00:00:00",29215.53751093613
"2019-10-16 00:00:00",29336.127018213632
"2019-10-17 00:00:00",29498.02217549511
"2019-10-18 00:00:00",29735.184025292292
"2019-10-19 00:00:00",29736.25899745486
"2019-10-20 00:00:00",29737.501739839336
"2019-10-21 00:00:00",29969.28562196771
"2019-10-22 00:00:00",30125.349210610035
"2019-10-23 00:00:00",30336.764545056867
"2019-10-24 00:00:00",30444.880025650204
"2019-10-25 00:00:00",30446.21597371351
"2019-10-26 00:00:00",30462.617066332616
"2019-10-27 00:00:00",30630.424570508232
"2019-10-28 00:00:00",30792.894496142526
"2019-10-29 00:00:00",31012.754265091862
"2019-10-30 00:00:00",31104.975070587767
"2019-10-31 00:00:00",31311.767403364353
"2019-11-01 00:00:00",31537.163589636522
"2019-11-02 00:00:00",31699.43156963334
"2019-11-03 00:00:00",31700.254886463055
"2019-11-04 00:00:00",31920.540294679075
"2019-11-05 00:00:00",32043.879369482223
"2019-11-06 00:00:00",32240.490535274
"2019-11-07 00:00:00",32437.35024954267
"2019-11-08 00:00:00",32623.20408812535
"2019-11-09 00:00:00",32629.344627376122
"2019-11-10 00:00:00",32712.951571054233
"2019-11-11 00:00:00",32908.38378867414
"2019-11-12 00:00:00",33088.93561600254
"2019-11-13 00:00:00",33231.70496798695
"2019-11-14 00:00:00",33323.593339895015
"2019-11-15 00:00:00",33421.09419738726
"2019-11-16 00:00:00",33423.75526922771
"2019-11-17 00:00:00",33424.1964427742
"2019-11-18 00:00:00",33557.182305336835
"2019-11-19 00:00:00",33799.82464904955
"2019-11-20 00:00:00",33913.50140181341
"2019-11-21 00:00:00",34021.53299729579
"2019-11-22 00:00:00",34113.63884912113
"2019-11-23 00:00:00",34114.49944822238
"2019-11-24 00:00:00",34296.912282271536
"2019-11-25 00:00:00",34463.35898353615
"2019-11-26 00:00:00",34678.19185954028
"2019-11-27 00:00:00",34849.93575021872
"2019-11-28 00:00:00",34850.634792809986
"2019-11-29 00:00:00",35084.484734152546
"2019-11-30 00:00:00",35085.51931718762
"2019-12-01 00:00:00",35234.7913186988
"2019-12-02 00:00:00",35328.23622544341
"2019-12-03 00:00:00",35439.679148771174
"2019-12-04 00:00:00",35676.19477252843
"2019-12-05 00:00:00",35845.984450807286
"2019-12-06 00:00:00",36064.964543688104
"2019-12-07 00:00:00",36240.40292193589
"2019-12-08 00:00:00",36240.533409886266
"2019-12-09 00:00:00",36472.059422969854
"2019-12-10 00:00:00",36684.307394814285
"2019-12-11 00:00:00",36897.37664073063
"2019-12-12 00:00:00",37037.42332279488
"2019-12-13 00:00:00",37271.18937902649
"2019-12-14 00:00:00",37402.27384574087
"2019-12-15 00:00:00",37585.121639624595
"2019-12-16 00:00:00",37799.43567068321
"2019-12-17 00:00:00",38039.54592678756
"2019-12-18 00:00:00",38234.429680664914
"2019-12-19 00:00:00",38421.5462946393
"2019-12-20 00:00:00",38568.76155750417
"2019-12-22 00:00:00",38739.49882685119
"2019-12-23 00:00:00",38945.36736912885
"2019-12-24 00:00:00",39051.467554481824
"2019-12-26 00:00:00",39201.70889505289
"2019-12-27 00:00:00",39409.07910303825
"2019-12-28 00:00:00",39578.44935576235
"2019-12-30 00:00:00",39695.64928318619
"2019-12-31 00:00:00",39841.32043863835
"2020-01-01 00:00:00",39921.977526246716
"2020-01-02 00:00:00",39937.48073749304
"2020-01-03 00:00:00",39966.038957488265
"2020-01-04 00:00:00",40132.3085679631
"2020-01-05 00:00:00",40132.66585639863
"2020-01-06 00:00:00",40327.353878350434
"2020-01-07 00:00:00",40498.094254553405
"2020-01-08 00:00:00",40654.16095005169
"2020-01-09 00:00:00",40788.20935735305
"2020-01-10 00:00:00",40880.38045315358
"2020-01-11 00:00:00",40880.681818181816
"2020-01-12 00:00:00",40881.62630239402
"2020-01-13 00:00:00",41069.77749940348
"2020-01-14 00:00:00",41299.979991847606
"2020-01-15 00:00:00",41438.69178994671
"2020-01-16 00:00:00",41587.63757158196
"2020-01-17 00:00:00",41817.268402529226
"2020-01-19 00:00:00",41996.80428795832
"2020-01-20 00:00:00",42198.56771454704
"2020-01-21 00:00:00",42371.118294162094
"2020-01-22 00:00:00",42563.59734152549
"2020-01-23 00:00:00",42762.90215143561
"2020-01-24 00:00:00",42821.7211484928
"2020-02-06 00:00:00",42830.85219816273
"2020-02-07 00:00:00",42866.531332021
"2020-02-10 00:00:00",42965.490193519836
"2020-02-11 00:00:00",43101.33507814364
"2020-02-12 00:00:00",43225.786407380896
"2020-02-13 00:00:00",43300.59017835838
"2020-02-14 00:00:00",43303.30557046846
"2020-02-15 00:00:00",43303.50130239402
"2020-02-18 00:00:00",43425.09432414698
"2020-02-19 00:00:00",43546.42326314324
"2020-02-20 00:00:00",43709.06095899944
